GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Value,Numeric,Low,High
Births attended by skilled health personnel (%),2007,Ghana,,55,55.0,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2020,Ghana,Female,45.4 [39.7-51.9],45.4,39.7,51.9
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2018,Ghana,Female,46.0 [40.5-52.2],46.0,40.5,52.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2004,Ghana,Female,2497.8 [2029.1-3016.3],2497.8,2029.1,3016.3
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2008,Ghana,Female,51.1 [44.0-58.7],51.1,44.0,58.7
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2019,Ghana,Female,2899.9 [2349.1-3500.7],2899.9,2349.1,3500.7
Antenatal care coverage - at least four visits (%),2014,Ghana,,87.3,87.3,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2007,Ghana,Female,256.6 [220.9-293.6],256.6,220.9,293.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2009,Ghana,Female,2751.2 [2204.8-3318.5],2751.2,2204.8,3318.5
Births attended by skilled health personnel (%),2023,Ghana,,88,88.0,,
Antenatal care coverage - at least four visits (%),2007,Ghana,,76.7,76.7,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2023,Ghana,Female,253.1 [210.1-298.1],253.1,210.1,298.1
Births attended by skilled health personnel (%),2011,Ghana,,67,67.0,,
Antenatal care coverage - at least four visits (%),2003,Ghana,,69.4,69.4,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2001,Ghana,Female,2044.9 [1589.1-2564.6],2044.9,1589.1,2564.6
Adolescent birth rate (per 1000 women),2012,Ghana,Female,73.3,73.27622223,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2000,Ghana,Female,54.1 [45.4-63.2],54.1,45.4,63.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2004,Ghana,Female,2246.5 [1796.2-2752.5],2246.5,1796.2,2752.5
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2020,Ghana,Female,36.4 [29.2-44.1],36.4,29.2,44.1
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2018,Ghana,Female,2622.9 [2113.8-3185.5],2622.9,2113.8,3185.5
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2002,Ghana,Female,45.8 [36.2-57.0],45.8,36.2,57.0
Proportion of births delivered in a health facility (Facility births) (%),2011,Ghana,,67.4,67.4,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2022,Ghana,Female,45.2 [38.3-52.6],45.2,38.3,52.6
Antenatal care coverage - at least four visits (%),2008,Ghana,,78.2,78.2,,
Proportion of births delivered in a health facility (Facility births) (%),2022,Ghana,,86.2,86.2,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2002,Ghana,Female,2110.9 [1665.4-2624.4],2110.9,1665.4,2624.4
Adolescent birth rate (per 1000 women),2009,Ghana,Female,71.2,71.21380615,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2002,Ghana,Female,247.6 [213.3-285.3],247.6,213.3,285.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2013,Ghana,Female,2798.2 [2264.8-3338.8],2798.2,2264.8,3338.8
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2004,Ghana,Female,251.2 [218.7-287.7],251.2,218.7,287.7
